PMID,Title,Abstract,Authors
24273611,Role of Epidermal Growth Factor-Triggered PI3K/Akt Signaling in the Migration of Medulloblastoma-Derived Cells.,"Medulloblastoma (MB) is the most common brain cancer diagnosed among children. The cellular pathways that regulate MB invasion in response to environmental cues remain incompletely understood. Herein, we examine the migratory response of human MB-derived Daoy cells to different concentration profiles of Epidermal Growth Factor (EGF) using a microfluidic system. Our findings provide the first quantitative evidence that EGF concentration gradients modulate the chemotaxis of MB-derived cells in a dose-dependent manner ",Veronica V;Richard A RA;Veronica V;Qingjun Q;Maribel M
23864912,Update on molecular and genetic alterations in adult medulloblastoma.,"Medulloblastoma encompasses a group of aggressively growing cancers that arise either in the cerebellum or brain stem. They present primarily in children, with 80-85 % of medulloblastomas being diagnosed in patients of 16 years and younger. In adults, medulloblastomas are rare and account for less than 1 % of intracranial malignancies. Due to the low incidence of medulloblastoma in adults, the biology and genetics of adult medulloblastomas have long been poorly understood. Many centers therefore still treat adults either by radiotherapy only or by using glioblastoma protocols (both often noncurative), or with standard pediatric medulloblastoma regimes (often associated with dose-limiting toxicity).Current clinical staging systems discriminate between standard-risk or high-risk patients based on clinical and histological parameters. However, clinico-pathological features often fail to accurately predict treatment response. In children, molecularly defined risk assessment has become important to improve survival of high-risk patients and to decrease treatment-related toxicity and long-term sequelae in standard-risk patients. However, several recent studies have shown that adult and pediatric medulloblastomas are genetically distinct and may require different algorithms for molecular risk stratification. Moreover, four subtypes of medulloblastoma have been identified that appear at different frequencies in children and adults and that have a different prognostic impact depending on age. Molecular markers such as chromosome 10q and chromosome 17 statuses can be used for molecular risk stratification of adult medulloblastoma, but only in a subgroup-specific context. Here we present an overview of the current knowledge of the genomics of adult medulloblastoma and how these tumors differ from their pediatric counterparts.",Marcel M;Andrey A;Stefan M SM
23691470,Adult medulloblastoma associated with syringomyelia: a case report.,"The association between cerebellar medulloblastoma and syringomyelia is uncommon and only found in pediatric patients. To date, adult medulloblastoma associated with syringomyelia has not been reported in the literature. Paroxysmal bradycardia is an uncommon clinical manifestation in posterior fossa tumors and likely to be vagally mediated via brainstem preganglionic cardiac motor neurons. This report introduces the diagnosis and treatment of a case of adult medulloblastoma associated with syringomyelia, which presented with paroxysmal bradycardia.",Ching-Chun CC
23430850,Onset of adreno-leukodystrophy after medulloblastoma therapy: causal connection or coincidence?,"X-linked adreno-leukodystrophy (ALD) is a peroxisomal disorder affecting the white matter of the central nervous system and the adrenal cortex. It is caused by mutations in the ABCD1 gene encoding for a peroxisomal membrane protein. The absent genotype-phenotype correlation implies a contribution by environmental factors to explain the phenotypical heterogeneity. We report on a 4-year-old boy with a biochemically confirmed diagnosis of ALD after birth. At the age of 32 months, the additional diagnosis of a medulloblastoma was made. After treatment of the medulloblastoma, he developed active areas of demyelination representing the characteristic neuroimaging features of ALD. The clinical history of our patient supports the hypothesis that external factors, like neurosurgical intervention as part of medulloblastoma treatment, may accelerate or initiate cerebral ALD-related demyelination. A postsurgical inflammatory reaction may facilitate the inclusion of abnormal fatty acids in myelin. The opening of the blood-brain barrier following neurosurgery may enhance the recognition of previously sequestered antigens considered to play a role in ALD onset. Consequently, neurosurgical disruption of the BBB can precipitate the immune-mediated inflammatory process, which progressively destroys myelin in ALD patients. Tumor-related chemotherapy and/or radiotherapy may also play a contributing role. We suggest that X-ALD patients who undergo neurosurgical intervention need close follow-up imaging to identify active demyelination early.",G G;A A;A A;K J KJ;G V GV;M M;T A G M TA
23389376,Breast metastasis of anaplastic oligodendroglioma: a case report.,"Extracranial metastasis of primary brain tumors is rarely observed. Of all brain malignancies, glioblastomas, medulloblastomas and astrocytomas metastasize most frequently. Metastasis of oligondendroglioma is rare. We present a case of breast metastasis in a 58-year-old man with an anaplastic oligodendroglioma.",Ahmet A;Serkan S;Selin S;Alaattin A;Ozgur O;Ali A;Ayse A;Hakan H;Gulten G
23379186,[Comparative assessment of molecular abberation in medulloblastomas].,Medulloblastoma is a heterogeneous disease with molecular variants and distinct biological behavior. Studying molecular abnormalities in medulloblastomas will allow to stratify patients into key populations and optimize aduvant therapy reducing long-term adverse effects.,M V MV;L V LV
23355800,"Medulloblastoma or not? Crucial role in tumorigenesis of the timing of migration of cerebellar granule precursor cells, regulated by Nos2 and Tis21.",,Stefano S;Laura L;Luca L;Manuela M;Sebastiano S;Felice F
23354632,[Positron emission tomography with fluorine-deoxyglucose in sarcomas and non-sarcoma non-epithelial tumors].,"The usefulness of positron emission tomography (PET) with fluorine-deoxyglucose (FDG) in sarcomas and non-sarcoma non-epithelial (NSNE) tumors is not clearly defined. To report a Chilean experience with NSNE tumors evaluated using PET with FDG. Retrospective review of the database of a PET laboratory. Demographic data, indications and metabolic findings were compared with conventional imaging in 88 adults and children with diverse bone and soft tissue sarcomas as well as 24 gastrointestinal stromal tumors (GIST), 6 pleural malignant mesotheliomas in adults, and 9 medulloblastomas in children. FDG showed good concordance with conventional imaging in NSNE tumors. It was helpful for staging, restaging, follow-up after treatment and for the detection of new not previously suspected lesions. PET with FDG could have a prognostic role and help in patient management, mainly in musculoskeletal and high grade or less differentiated sarcomas. In GIST, it was a good tool for immunotherapy control.",Teresa T;María Josefina MJ;María Paulina MP;José J;Gabriel G;Isabel I;Iván I
23330355,Medulloblastoma: molecular classifications and prognostic associations.,,Dennis C DC;Howard H
23330354,A tale of two tumors: pediatric and adult medulloblastoma.,,Ayal A AA;Annie W AW
